"";"";"";"";"urgentemente";""
"1";"urgentemente";"0.324067379159756";"-0.744930269353008";"1.08181961775391";"52"
"2";"especialmente";"0.304081823267874";"-0.67829271820465";"1.06942557784447";"57"
"3";"realmente";"0.316812453116233";"-0.606714860611567";"0.997377981361554";"70"
"4";"principalmente";"0.311497972765219";"-0.21093182139171";"0.978613173274364";"76"
"5";"ontem";"0.316769989130424";"-0.324976180446176";"0.952898436265993";"84"
"6";"nenhum";"0.3188177097939";"0.0804059645330773";"0.911662191333649";"103"
"7";"juntamente";"0.317697601330732";"-0.270157503075347";"0.860232717316906";"107"
"8";"acercar";"0.316118438212765";"0.417688560887193";"0.856526088558943";"109"
"9";"ninguém";"0.318395889857717";"0.254536111276897";"0.845522034433739";"115"
"10";"simplesmente";"0.313526704672943";"-0.138329918709806";"0.834460064234192";"119"
"11";"extremamente";"0.319914190954352";"0.1457678115367";"0.832664665929553";"123"
"12";"muito";"0.31439396597279";"-0.137728164821098";"0.826757226346549";"125"
