"";"*partido_AVANTE";"*partido_MDB";"*partido_NOVO";"*partido_PCdoB";"*partido_PDT";"*partido_PL";"*partido_PODE";"*partido_PP";"*partido_PRD";"*partido_PSB";"*partido_PSD";"*partido_PSDB";"*partido_PSOL";"*partido_PT";"*partido_REDE";"*partido_REPUBLICANOS";"*partido_SOLIDARIEDADE";"*partido_UNIÃO"
"adv";1;41;20;44;73;121;6;63;9;37;121;12;48;188;1;9;0;61
"nom";67;398;99;196;583;812;113;533;38;261;898;82;341;1507;0;126;5;491
"pre";9;18;2;16;28;49;6;25;7;18;72;8;34;94;0;9;0;40
"ver";36;156;87;82;288;439;36;263;29;138;419;34;198;689;1;51;1;229
"ono";0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0
"pro_per";0;1;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
"ver_sup";8;24;39;7;52;138;10;61;3;36;152;7;36;170;0;7;1;53
"nom_sup";3;8;4;2;29;23;4;29;11;13;53;3;14;66;0;5;0;12
"art_def";0;0;0;0;3;2;0;2;2;1;30;0;0;3;0;0;0;0
"adj_num";1;7;2;10;11;15;1;8;0;16;14;1;5;63;0;0;0;9
"pro_int";0;0;0;1;2;1;0;0;0;0;2;0;0;5;0;0;0;0
"num";0;0;0;0;0;4;1;1;0;1;7;0;0;0;0;0;0;0
"adj ";1;0;0;0;0;0;0;0;0;4;0;0;0;4;0;1;0;1
"nr";13;70;18;31;200;201;28;135;7;58;321;14;89;343;1;37;2;129
"pro_ind";6;27;10;14;24;61;10;26;3;20;59;11;22;100;0;9;1;29
"adj";8;113;30;66;198;268;25;138;19;113;268;29;105;445;0;46;1;143
"conj";0;5;0;2;8;8;1;2;0;5;15;0;2;13;0;0;0;1
"adv_sup";0;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0;0;2
